booking_id,check_in_date,check_out_date,num_guests,booking_price,discount_applied,payment_method,user_id,listing_id,stay_length
1a02c1f5-3b30-4e71-8176-b7643c082b02,2024-10-20,2024-10-26,3,3579.3,0,PayPal,89e491f5-fa7c-4534-9ec7-dc869bec66b0,2e884c8e-ebb0-4af8-83a4-8cca906843a5,272
31b1787b-3d77-4a7d-97f8-edd4a6448be2,2024-10-13,2024-10-23,6,2267.0,1,PayPal,cc4549e5-47dd-4d3b-8899-1e00569a4025,,254
eda91017-bad4-4569-8e07-d9e1c624fac6,2024-01-08,2024-01-18,9,732.66,1,PayPal,d120db52-98ca-4739-84b4-4c3867093412,b50ec8b1-6114-4165-ae3d-098058db7611,451
2eeb92d5-9f5d-4001-8bd4-b0c7bd158e3f,2024-10-25,2024-10-28,6,1545.54,1,Credit Card,a64b1e9d-a74b-41cf-905d-afebc5816065,35aca8b4-3a5e-41ba-a686-8ce2c9cb4aff,217
085d30c5-e1dc-4361-933c-b57ff68777ce,2024-11-14,2024-11-26,1,590.81,0,PayPal,8300eb2f-56c6-445e-a316-9c94566d6ac9,c84466a4-589b-4db8-9d48-17940dbcbed0,383
73339046-e66f-4641-91fb-4e9a3400e82c,2024-11-28,2024-11-29,3,4175.96,0,PayPal,a25e46c2-33a5-425e-90be-6cabafce635e,,208
aacabff4-16a7-4d78-a21a-a1138fb853a5,2024-08-06,2024-08-19,1,1178.89,0,Bank Transfer,d0daf895-eeeb-4cbe-be95-125d2fd543d1,147517dd-5f70-4344-b82b-f45cfeed60ef,485
294b8c8c-7468-431e-b086-9682ebf32e00,2024-07-10,2024-07-13,6,502.48,1,PayPal,f0033137-df48-415e-8b5d-827a520cb1d5,,288
ecb12ea5-4221-4ce6-94fc-d73492a483f5,2024-03-20,2024-03-21,8,4029.15,0,PayPal,8518c558-4843-41b3-be9a-e512af40fa10,e7c83032-1804-40e5-87c1-3c40cce7dea7,567
275a6400-1c67-4536-bff2-ac70f9a99ff2,2023-12-22,2023-12-31,1,2642.62,0,Bank Transfer,3b43172e-c975-4cb3-b03d-9d62796911b4,7b314a77-3db0-45f7-ac6b-59e10771a772,672
71365a88-cdb5-490c-aa0f-8e9e08534eff,2024-09-14,2024-09-24,9,447.42,0,PayPal,1f47e6b2-b732-406d-a236-188e3db9c60f,,440
19958cff-04f4-470c-87b2-e6bc91d5d596,2024-01-08,2024-01-16,3,1687.4,0,PayPal,fbf69f36-476f-4305-8ab8-5c2a89b61c85,aae4f47e-1fd8-4fbb-8868-88590f1b68a8,624
0752058a-4caa-4385-be04-6cf4c75b2acf,2024-03-31,2024-04-08,8,2635.65,1,Bank Transfer,7f6f3fc8-3297-4d1b-bcb9-0b67ab7d0f26,,420
3ff328a7-50fe-44de-a2fa-f701c3119c11,2024-08-17,2024-08-22,3,3063.77,0,Bank Transfer,5c556d67-a0d4-45e2-90b4-3f48711d5eb0,3574d081-b853-4960-87a5-2b1015001f00,373
63dcc8ad-4e3b-4e28-a248-d4d892b4bc38,2024-04-12,2024-04-20,2,4592.63,1,Bank Transfer,3c69ab0c-2a92-42b8-b446-df75ae72bef7,,478
e9f8a164-9aae-4459-89bb-c6a64cfdda7d,2024-11-10,2024-11-11,9,3138.98,1,PayPal,2e8006a1-fc0e-4520-90e7-9d00a93f8d22,259934d5-9dee-4d07-b25a-4d2d927229a6,260
598f1dee-cd44-4b47-bdb1-793dedf1b7a6,2024-01-17,2024-01-19,5,4407.76,0,PayPal,cbce5ba6-db1e-4edb-b87c-a28763ba595b,baed1bd4-5b67-4fee-a23a-e58fc48a0cd7,517
d6f0cbe2-1721-4747-be17-ab490eab457e,2024-03-07,2024-03-15,5,1456.04,1,PayPal,1f1bfac2-5521-470f-a391-2c8a6bdaad9a,deac4cf0-93cb-47b2-9cb0-9c31498505fc,454
8e2bfee3-42f5-43d9-8e56-a6a7a39468a5,2024-07-12,2024-07-16,8,1407.8,0,Credit Card,288a40e8-4d8f-4035-a1c9-96df445944ab,9c90bac8-3a1f-4c99-b0f6-dc32ecc44d96,170
44bd19cb-a1a0-4426-8dbd-147f045aeb99,2024-07-13,2024-07-18,3,4005.06,1,PayPal,8b45e2f6-9b16-42a6-bcc7-343291950bff,87dc57d1-2117-4de1-9654-75c1d39c55f5,196
748ddc24-e136-41bc-863a-b2b41b69f05c,2024-02-06,2024-02-18,6,2205.69,1,Bank Transfer,1061643b-27f6-47af-9545-acea12fee53e,,501
fb6d5643-c6c3-464c-95b8-23848d4b9422,2024-11-09,2024-11-13,9,3009.89,0,Credit Card,0d5ee5a8-19b4-4fe6-a3c0-f4f2c0eabdf0,9a36ee5d-67a5-4825-962c-ede1469e67f2,197
3bfe5dda-2951-4a3d-9e50-702401dac848,2024-12-01,2024-12-15,5,1233.53,1,PayPal,ec435b04-0d91-46f1-869d-b2ffd0952a32,28bba07f-2a9e-4f9c-8bd7-417ed5133b6b,100
ac218e07-fd91-4fce-8d15-cc53d8faf397,2024-02-09,2024-02-13,3,4254.13,0,Bank Transfer,66b5a6e1-68e1-4a36-9be0-704239caf87a,ed706936-c7b4-4edd-8d56-6c216f1a9701,435
900b2274-5c8d-4fbd-a744-74993b79110e,2024-01-02,2024-01-14,3,3614.66,1,PayPal,de188e7b-7b4e-45a0-b960-df2603f08f2c,162a844f-af5b-4171-935d-a712d8053b05,584
44ce96bb-d2ff-4481-8c92-21139b9c6806,2024-02-27,2024-03-08,4,4095.79,1,Bank Transfer,1c08a4c9-19fe-4c57-a5ef-925da57746a3,23da0702-f374-4d04-9b83-bc543571e648,607
d12dfb37-aecc-4c97-bf24-fa89af6d4961,2024-01-08,2024-01-14,8,2046.21,0,Bank Transfer,d6381843-da87-4163-aff9-28a951ff6986,3871cb05-2853-4e2c-8d5d-9d8f696df06a,440
20d61b01-c646-4dd4-bb75-587644a357af,2024-06-23,2024-07-06,7,1308.37,0,Bank Transfer,f0139268-8092-4d01-8f80-28cf2f693517,b535bc55-fc37-4837-93a0-f600da96bc63,187
be782277-71f5-4fa8-98eb-71aba91f6615,2024-03-11,2024-03-12,8,210.25,0,PayPal,701e38cc-e247-4f25-9f1b-17dc6e512918,1ad80cfd-cee3-4f7e-960e-5eaf6ed46726,393
e4250ee4-49bd-41b7-9455-689f7417b68c,2024-01-16,2024-01-23,6,4821.68,0,Bank Transfer,0801b74a-5a8e-4de8-b351-d1f21e79a4c6,68b6a0db-c5fe-4576-b1c9-90e1dad59829,599
e9ec70fd-b2a3-4e79-b6e2-1f4b3d6527d5,2024-02-21,2024-02-27,6,319.58,0,Credit Card,955ef6d5-3023-4761-b93f-3307f134f93c,c0c7efaa-e0d2-459a-a6e7-1b1b35b72de2,662
8b7e22bc-2bf8-4950-a4d3-63249bd87b3d,2024-08-24,2024-08-29,6,3968.74,1,Bank Transfer,73f1311a-58f0-4d6b-888e-fc1f0e919848,daecf186-d5da-48b2-8969-54b3a08efb5c,330
9243dee3-f540-4c77-af34-4ba12d0053ff,2024-08-09,2024-08-21,5,697.92,0,Bank Transfer,ea564aee-8181-4819-9031-95b2779e55a9,279bd266-79ac-4efe-befd-8991ad6a68c8,331
5164cc30-cb83-4fc1-8a5e-9754e55d777c,2024-09-14,2024-09-26,2,2799.05,1,PayPal,b7e26d8d-9e3d-42bd-a19b-dbcc80d9e34b,8c03d10e-bfb1-403a-a7f8-76578ebb31a3,107
4b4946d5-e660-4f83-b83c-7161e145fe07,2024-09-16,2024-09-24,5,848.7,0,Bank Transfer,865b193b-1e26-4102-9547-5b267e9a543d,9bfd758f-5c06-43d6-8cf1-05f3daed82fe,259
a9a03401-6ff1-4cfb-81fd-a6de7e3a0c84,2023-12-24,2024-01-06,8,3652.44,0,Credit Card,7698347d-6524-4a6e-8975-fb42a7dc2ceb,c3841068-56b0-4fc4-8567-bba6f8782e69,656
e14a0584-21c4-4794-a789-040e3c59bc40,2024-02-15,2024-02-22,7,152.06,0,PayPal,4add82ff-fa8c-47f0-a700-1af068347e17,aa606e66-9f6c-43ea-8e4b-07aefcdcab03,587
d4693143-b817-442d-8c99-c01f97f9f451,2024-05-05,2024-05-10,1,921.05,0,Bank Transfer,2efdc83f-e000-4aaa-bc99-b8c2c59a5f86,143f05c2-5f0c-4582-aed8-498d68fdf469,414
e0cf121f-9462-4edf-9c98-1544c459f4ab,2024-04-21,2024-04-30,9,4461.68,1,Bank Transfer,0389e857-50b3-4338-aa58-f3d0f12d32d1,d4d0f6f3-961f-4d12-849c-646a61720352,516
bad00570-a2e7-46c6-8397-fdd53dacfab3,2024-03-01,2024-03-09,9,3502.91,0,PayPal,7bc0fdfd-5a5a-4f45-a819-bf3dc0c7dd83,f3fcd44f-f0e7-4872-884b-d0a33387cf64,452
78cf5718-3057-4567-b843-9c3d24c9e812,2024-09-08,2024-09-12,1,2285.67,1,Credit Card,5857bef5-0cf5-4501-8661-9c70431bcfd6,92c454da-b857-45d8-ba7e-995880212141,426
d3dd8013-0ce4-4d3f-b41c-475c124a3866,2024-06-02,2024-06-04,7,188.75,1,Bank Transfer,268ef413-10fa-471d-954c-f3258062a7af,a49862ef-f654-4713-ba36-89708e971096,298
96eb7d7b-6c27-4b6a-96fd-ef69740b9f60,2024-01-13,2024-01-24,5,4985.31,0,PayPal,afc5711d-6344-4575-b6b6-8e6536d890c1,eed63000-6681-4822-acb4-0b36a2558208,490
f7e12829-cd18-4732-9006-ca8170cbba6d,2024-05-02,2024-05-14,2,2510.37,1,Credit Card,d5c039dc-730d-41bd-94aa-8ef268750453,891f9542-5d5f-4129-9056-7004a08b12e9,352
5269df96-aba6-40e4-90ba-7c6f3c5a60ef,2024-08-04,2024-08-12,1,102.7,0,Credit Card,f5f67ae1-5c5c-4c22-8454-0771c6f4e48c,94844b8c-0e32-4667-9d91-cb67ebdd03cf,202
1491d96e-b82f-4602-978f-b607fa1ec59b,2024-07-14,2024-07-22,5,2782.43,1,Bank Transfer,d73b46cf-e557-41f0-af10-82e56faaa8c9,20b2b7b8-951a-44a4-b488-2bc0f987d141,372
c4bf9d05-b6e7-4b64-8c72-f1dc10e9b0a0,2024-11-23,2024-11-30,1,4512.45,0,Credit Card,4ebe838b-824d-415c-b0e0-4e75e96382f4,6bb59fc4-b92e-429a-bc26-be58aa25bcdf,354
1a24a671-3bd0-4987-9d94-68df23629fa8,2024-09-22,2024-09-27,4,3052.6,1,Credit Card,a873fa94-837f-47f4-9632-720185789e9d,57f841d1-757f-4518-8d7a-89a729c58446,109
23468190-a2c3-4ec1-b4fa-57b7111c1cf3,2024-05-03,2024-05-04,7,2406.42,0,PayPal,3e00395b-7216-4685-a0cb-05fea34a6aca,460f7630-033a-45e4-b441-14e445dca000,407
67ccb61c-72bb-4921-b1a1-d87ee1b164d1,2024-02-11,2024-02-24,7,3748.94,0,Credit Card,a4cdb326-7f50-4fdf-9edc-18ff8257937d,7ca09d30-eb79-49ea-ab83-e79349f7fe42,608
27f460fa-4420-4975-b69f-78509a343585,2024-04-14,2024-04-24,3,4027.8,1,Credit Card,add7e04e-3794-416e-88b1-2e1930686829,,407
cafac3da-bf56-4c9e-8250-65d8a33f5af9,2024-10-06,2024-10-08,3,4015.95,1,PayPal,5e16dc42-6176-4e2c-af6e-62a8ddb58944,d3e27f53-a43a-423f-84bf-bc3fcc94a621,330
4359803b-73f1-4dab-8b94-57e722d7e74d,2024-08-20,2024-08-30,9,2447.23,1,Bank Transfer,7a3d0646-9e11-40fa-866b-9ebf805f9c07,c1a80c19-2d5c-471b-b4a0-7b4b66ccf2ab,244
b1a7b068-d81d-4aa7-a0ca-896c4e4ceaaa,2024-06-08,2024-06-13,3,3394.75,1,Credit Card,f3ac5e4f-8bbb-443d-9b22-e65c7304bdb9,66e02352-3356-439a-ae2c-a09ba2f393d7,440
caa25cb0-ad35-48a6-86b3-a112acb0fffa,2024-03-01,2024-03-13,8,3494.92,0,PayPal,664f5468-74ff-481a-824c-2ca1e93a775b,c8535ec6-47da-4819-8ca4-8f133c7b365d,609
5447a17e-9073-4d56-bf4d-866855514545,2024-08-14,2024-08-25,2,2443.36,1,Credit Card,4b0ca4f7-d584-478b-ac4c-07694511bd38,b6ea0085-62a6-41a6-afd0-71c5ca653454,395
84a957e2-cb7e-4484-b885-cd138f767b5c,2024-02-01,2024-02-03,7,4766.15,0,Bank Transfer,f3875406-67fc-4439-883b-bfab9b2f6bcd,,395
c67b39f0-d36c-4958-95a7-34dbd572baf6,2024-07-03,2024-07-09,6,1660.72,1,PayPal,ba7ab1cb-21e3-499f-b23f-31c71779f9d6,28fe2688-61e0-4333-b183-1ff21db160ea,444
